falsePositiveRate truePositiveRate threshold
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00
0.000000000000000000e+00 5.555555555555555247e-02 1.000000000000000000e+00
0.000000000000000000e+00 9.166666666666666297e-01 7.694524526596069336e-01
1.282051282051282007e-02 9.166666666666666297e-01 7.023547291755676270e-01
1.282051282051282007e-02 9.722222222222222099e-01 5.533773303031921387e-01
2.051282051282051211e-01 9.722222222222222099e-01 4.413187503814697266e-02
2.051282051282051211e-01 1.000000000000000000e+00 3.857973217964172363e-02
1.000000000000000000e+00 1.000000000000000000e+00 3.260374069213867188e-04
